date_key,full_date,year,quarter,month,day,weekday
212,2013-06-09,2013,Q2,06,9,Sunday
213,2013-09-10,2013,Q3,09,10,Tuesday
214,2013-05-22,2013,Q2,05,22,Wednesday
215,2014-01-31,2014,Q1,01,31,Friday
216,2014-02-02,2014,Q1,02,2,Sunday
217,2014-02-13,2014,Q1,02,13,Thursday
218,2014-02-26,2014,Q1,02,26,Wednesday
219,2012-06-10,2012,Q2,06,10,Sunday
220,2014-02-11,2014,Q1,02,11,Tuesday
221,2012-04-13,2012,Q2,04,13,Friday
222,2015-09-04,2015,Q3,09,4,Friday
223,2013-04-06,2013,Q2,04,6,Saturday
224,2014-03-28,2014,Q1,03,28,Friday
225,2012-05-20,2012,Q2,05,20,Sunday
226,2014-02-24,2014,Q1,02,24,Monday
227,2013-07-25,2013,Q3,07,25,Thursday
228,2013-04-08,2013,Q2,04,8,Monday
229,2013-05-10,2013,Q2,05,10,Friday
230,2013-06-17,2013,Q2,06,17,Monday
231,2015-09-24,2015,Q3,09,24,Thursday
232,2013-02-21,2013,Q1,02,21,Thursday
233,2014-08-17,2014,Q3,08,17,Sunday
234,2013-04-04,2013,Q2,04,4,Thursday
235,2013-12-25,2013,Q4,12,25,Wednesday
236,2013-12-30,2013,Q4,12,30,Monday
237,2013-05-28,2013,Q2,05,28,Tuesday
238,2014-05-05,2014,Q2,05,5,Monday
239,2013-06-05,2013,Q2,06,5,Wednesday
240,2014-02-14,2014,Q1,02,14,Friday
241,2013-01-16,2013,Q1,01,16,Wednesday
242,2015-03-20,2015,Q1,03,20,Friday
243,2015-07-14,2015,Q3,07,14,Tuesday
244,2014-04-14,2014,Q2,04,14,Monday
245,2015-01-12,2015,Q1,01,12,Monday
246,2014-11-05,2014,Q4,11,5,Wednesday
247,2013-09-09,2013,Q3,09,9,Monday
248,2012-04-07,2012,Q2,04,7,Saturday
249,2014-07-19,2014,Q3,07,19,Saturday
250,2012-03-19,2012,Q1,03,19,Monday
251,2014-04-30,2014,Q2,04,30,Wednesday
252,2013-03-01,2013,Q1,03,1,Friday
253,2015-10-03,2015,Q4,10,3,Saturday
254,2015-09-13,2015,Q3,09,13,Sunday
255,2013-08-30,2013,Q3,08,30,Friday
256,2015-09-02,2015,Q3,09,2,Wednesday
257,2015-11-04,2015,Q4,11,4,Wednesday
258,2013-12-12,2013,Q4,12,12,Thursday
259,2013-11-14,2013,Q4,11,14,Thursday
260,2013-07-12,2013,Q3,07,12,Friday
261,2015-07-04,2015,Q3,07,4,Saturday
262,2013-12-11,2013,Q4,12,11,Wednesday
263,2014-05-31,2014,Q2,05,31,Saturday
264,2015-11-08,2015,Q4,11,8,Sunday
265,2015-05-17,2015,Q2,05,17,Sunday
266,2015-06-11,2015,Q2,06,11,Thursday
267,2015-08-05,2015,Q3,08,5,Wednesday
268,2013-08-26,2013,Q3,08,26,Monday
269,2014-07-05,2014,Q3,07,5,Saturday
270,2014-04-03,2014,Q2,04,3,Thursday
271,2013-11-22,2013,Q4,11,22,Friday
272,2015-05-20,2015,Q2,05,20,Wednesday
273,2015-04-17,2015,Q2,04,17,Friday
274,2015-11-22,2015,Q4,11,22,Sunday
275,2012-10-01,2012,Q4,10,1,Monday
276,2012-08-15,2012,Q3,08,15,Wednesday
277,2013-12-24,2013,Q4,12,24,Tuesday
278,2012-06-14,2012,Q2,06,14,Thursday
279,2012-01-13,2012,Q1,01,13,Friday
280,2012-10-20,2012,Q4,10,20,Saturday
281,2014-12-27,2014,Q4,12,27,Saturday
282,2012-07-28,2012,Q3,07,28,Saturday
283,2012-01-02,2012,Q1,01,2,Monday
284,2014-08-04,2014,Q3,08,4,Monday
285,2013-05-07,2013,Q2,05,7,Tuesday
286,2013-05-02,2013,Q2,05,2,Thursday
287,2012-03-28,2012,Q1,03,28,Wednesday
288,2015-05-12,2015,Q2,05,12,Tuesday
289,2013-02-16,2013,Q1,02,16,Saturday
290,2015-01-26,2015,Q1,01,26,Monday
291,2012-07-24,2012,Q3,07,24,Tuesday
292,2013-04-26,2013,Q2,04,26,Friday
293,2014-08-12,2014,Q3,08,12,Tuesday
294,2014-05-15,2014,Q2,05,15,Thursday
295,2013-02-20,2013,Q1,02,20,Wednesday
296,2013-04-03,2013,Q2,04,3,Wednesday
297,2014-07-11,2014,Q3,07,11,Friday
298,2015-05-06,2015,Q2,05,6,Wednesday
299,2013-12-23,2013,Q4,12,23,Monday
300,2012-07-04,2012,Q3,07,4,Wednesday
301,2012-07-08,2012,Q3,07,8,Sunday
302,2015-08-12,2015,Q3,08,12,Wednesday
303,2013-11-15,2013,Q4,11,15,Friday
304,2012-02-13,2012,Q1,02,13,Monday
305,2015-03-07,2015,Q1,03,7,Saturday
306,2015-08-02,2015,Q3,08,2,Sunday
307,2014-04-11,2014,Q2,04,11,Friday
308,2013-03-11,2013,Q1,03,11,Monday
309,2014-01-21,2014,Q1,01,21,Tuesday
310,2014-03-29,2014,Q1,03,29,Saturday
311,2014-01-23,2014,Q1,01,23,Thursday
312,2015-09-27,2015,Q3,09,27,Sunday
313,2012-01-21,2012,Q1,01,21,Saturday
314,2014-07-04,2014,Q3,07,4,Friday
315,2014-12-11,2014,Q4,12,11,Thursday
316,2013-09-18,2013,Q3,09,18,Wednesday
317,2015-01-13,2015,Q1,01,13,Tuesday
318,2015-11-05,2015,Q4,11,5,Thursday
319,2013-09-22,2013,Q3,09,22,Sunday
320,2015-05-13,2015,Q2,05,13,Wednesday
321,2014-05-29,2014,Q2,05,29,Thursday
322,2012-10-25,2012,Q4,10,25,Thursday
323,2013-11-11,2013,Q4,11,11,Monday
324,2015-01-06,2015,Q1,01,6,Tuesday
325,2014-05-04,2014,Q2,05,4,Sunday
326,2013-08-27,2013,Q3,08,27,Tuesday
327,2012-12-23,2012,Q4,12,23,Sunday
328,2012-08-22,2012,Q3,08,22,Wednesday
329,2012-04-14,2012,Q2,04,14,Saturday
330,2012-07-05,2012,Q3,07,5,Thursday
331,2014-07-21,2014,Q3,07,21,Monday
332,2013-07-20,2013,Q3,07,20,Saturday
333,2015-03-06,2015,Q1,03,6,Friday
334,2015-05-08,2015,Q2,05,8,Friday
335,2014-10-15,2014,Q4,10,15,Wednesday
336,2012-03-11,2012,Q1,03,11,Sunday
337,2013-12-17,2013,Q4,12,17,Tuesday
338,2014-12-07,2014,Q4,12,7,Sunday
339,2013-12-04,2013,Q4,12,4,Wednesday
340,2014-10-09,2014,Q4,10,9,Thursday
341,2014-12-08,2014,Q4,12,8,Monday
342,2013-08-03,2013,Q3,08,3,Saturday
343,2012-11-12,2012,Q4,11,12,Monday
344,2014-11-29,2014,Q4,11,29,Saturday
345,2012-01-05,2012,Q1,01,5,Thursday
346,2015-03-05,2015,Q1,03,5,Thursday
347,2012-04-21,2012,Q2,04,21,Saturday
348,2015-07-08,2015,Q3,07,8,Wednesday
349,2014-11-28,2014,Q4,11,28,Friday
350,2015-07-05,2015,Q3,07,5,Sunday
351,2013-01-04,2013,Q1,01,4,Friday
352,2015-01-10,2015,Q1,01,10,Saturday
353,2014-09-08,2014,Q3,09,8,Monday
354,2015-06-18,2015,Q2,06,18,Thursday
355,2012-10-09,2012,Q4,10,9,Tuesday
356,2012-03-31,2012,Q1,03,31,Saturday
357,2015-01-19,2015,Q1,01,19,Monday
